"Status","Address","Listing Price","Selling Price","Year Built","Square Footage","Lot Size - Acres","Listing Date","Pending Date","Selling Date","DOM"
"A","342 G Aly Units X&Y, Lemoore, CA 93245","245000","0","1950","396","0.1435","10/14/25","","","164"
"T","495 Ash St, Lemoore, CA 93245-3547","425000","0","1989","2556","0.2887","11/21/25","02/12/26","","83"
"A","315 W Glendale Ave, Lemoore, CA 93245-1927","334000","0","1962","1313","0.1768","11/21/25","","","104"
"A","555 W D St, Lemoore, CA 93245-2613","469000","0","1918","2179","0.2583","01/04/26","","","82"
"A","255 Lombardy Ln, Lemoore, CA 93245-3551","329900","0","1955","1116","0.1531","01/08/26","","","78"
"T","1459 Chimney Way, Lemoore, CA 93245","399900","0","2001","1439","0.1377","01/16/26","03/12/26","","29"
"A","232 N Lemoore Ave N, Lemoore, CA 93245-2954","275000","0","1984","1136","0.0261","01/19/26","","","67"
"A","3 C St, Lemoore, CA 93245-2926","279900","0","1914","1297","0.2766","01/19/26","","","54"
"A","10730 17th Ave, Lemoore, CA 93245-9553","585000","0","1956","2696","0.6800","01/22/26","","","64"
"A","989 Laguna Dr, Lemoore, CA 93245-9014","409000","0","1996","1912","0.1584","01/29/26","","","56"
"A","374 Bush St, Lemoore, CA 93245","305000","0","1938","1597","0.3361","02/12/26","","","43"
"A","1150 Fire Fall Ave, Lemoore, CA 93245-4519","434900","0","2020","1989","0.1275","02/13/26","","","42"
"T","1483 Atlantic Ave, Lemoore, CA 93245-3825","545000","0","2009","2705","0.2913","02/12/26","02/20/26","","7"
"A","1133 Cousins Ct, Lemoore, CA 93245","399900","0","1998","1714","0.1610","02/16/26","","","39"
"A","870 Cabrillo St, Lemoore, CA 93245-4612","385000","0","2020","1816","0.1610","02/23/26","","","32"
"T","701 Strada St, Lemoore, CA 93245","430000","0","2019","1733","0.1474","02/27/26","03/04/26","","5"
"A","1524 Atlantic Ave, Lemoore, CA 93245-3836","487500","0","2012","2257","0.1797","02/27/26","","","27"
"T","505 Ash St, Lemoore, CA 93245-3549","480000","0","1985","2158","0.2944","03/02/26","03/09/26","","7"
"A","1410 W Bush St, Lemoore, CA 93245-3306","359900","0","1965","1401","0.2296","03/02/26","","","25"
"A","8 C St, Lemoore, CA 93245-2927","400000","0","1918","1888","0.3095","03/01/26","","","26"
"A","865 Avalon Dr, Lemoore, CA 93245-4437","489000","0","1999","1809","0.1820","03/03/26","","","24"
"T","698 Wexford Ct, Lemoore, CA 93245","405000","0","1996","1649","0.1640","03/04/26","03/04/26","","0"
"T","831 Redwood Ln, Lemoore, CA 93245-3743","389000","0","1978","1999","0.2089","03/07/26","03/25/26","","14"
"A","903 Boxwood Ln, Lemoore, CA 93245-2123","310000","0","1977","1020","0.1742","03/08/26","","","10"
"A","1587 Persimmon St, Lemoore, CA 93245-5258","405000","0","2005","1754","0.1646","03/13/26","","","14"
"A","702 Montecito Ct, Lemoore, CA 93245-3326","425000","0","1996","1694","0.1711","03/13/26","","","14"
"T","873 Cedar, Lemoore, CA 93245","400000","0","1978","1856","0.2073","03/13/26","03/17/26","","4"
"T","730 W D St, Lemoore, CA 93245-2527","260000","0","1966","704","0.2450","03/19/26","03/24/26","","5"
"A","1332 Lincoln Ln, Lemoore, CA 93245-3313","479000","0","1990","2075","0.1947","03/19/26","","","8"
"A","557 Beechwood Cir, Lemoore, CA 93245-3356","525000","0","1983","2902","0.2565","03/20/26","","","7"
"A","327 C St, Lemoore, CA 93245-2931","325000","0","1924","1122","0.1777","03/19/26","","","8"
"A","237 Smith Ave, Lemoore, CA 93245-2860","349000","0","1924","1330","0.3030","03/26/26","","","1"
"A","692 Firenze St, Lemoore, CA 93245-3981","405000","0","2012","1788","0.1452","03/25/26","","","2"
